row_id,surface_au_composition,substrate_au_composition,plane_rms_A,plane_max_abs_A,au_au_avg_bond_strain_surface,au_cu_avg_bond_strain_surface,cu_cu_avg_bond_strain_surface,au_avg_voronoi_strain,cu_avg_voronoi_strain,avg_au_cu_area_strain,diff_area_au_minus_cu_strain
15,4.0,0.0,0.06701188811185123,0.15777970193634466,nan,-4.9428166821770425,-0.1320635703756233,-20.530901175493433,-0.13005532545458573,-0.9460891594561396,-20.40084585003885
16,4.0,0.0,0.0757677936526963,0.19638516994518831,nan,-5.922884396402185,-0.042609805564566595,-22.169866513446614,-0.04166527008852167,-0.9267933198228454,-22.12820124335809
17,4.0,0.0,0.06179359035756272,0.10459275854208427,nan,-5.768497237560532,-0.0468168472961689,-21.989555598094245,-0.052120693740698144,-0.9296180899148401,-21.937434904353548
18,4.0,0.0,0.06179359035756272,0.10459275854208427,nan,-5.768497237560532,-0.0468168472961689,-21.989555598094245,-0.052120693740698144,-0.9296180899148401,-21.937434904353548
19,4.0,0.0,0.08293655542427189,0.23408499306136296,nan,-5.5180312142367045,-0.07880649472728833,-21.5210877041169,-0.07763411627810736,-0.935372259791659,-21.443453587838793
20,0.0,0.0,0.019143645761595635,0.08301468089657363,nan,nan,0.012743597541703903,nan,0.02259483686535434,0.02259483686535434,nan
21,0.0,0.0,0.019143645761595635,0.08301468089657363,nan,nan,0.012743597541703903,nan,0.02259483686535434,0.02259483686535434,nan
22,4.0,0.0,0.06939742918516036,0.16795949261638687,nan,-5.102017235160379,-0.11937345131158311,-20.77470446368195,-0.1280841785930082,-0.9539489899965657,-20.646620285088943
23,4.0,0.0,0.06939742918516036,0.16795949261638687,nan,-5.102017235160379,-0.11937345131158311,-20.77470446368195,-0.1280841785930082,-0.9539489899965657,-20.646620285088943
24,4.0,0.0,0.06181257864383762,0.11210532567590153,nan,-5.279313055952383,-0.10442113037226929,-21.079680133813007,-0.11982194770842886,-0.9582162751526121,-20.95985818610458
25,4.0,0.0,0.03893128476301274,0.15768931307785422,nan,-4.581751178644658,-0.17558115693990659,-19.93253368130018,-0.16286526362042084,-0.9536520003276112,-19.769668417679757
26,4.0,0.0,0.0410583731216884,0.16504474485129225,nan,-4.686562015120409,-0.16627773022752676,-20.1131352595724,-0.1529592798540413,-0.9513663190427757,-19.960175979718358
27,4.0,0.0,0.03524744979846728,0.13691607623978375,nan,-4.022294583891541,-0.22655877924399417,-18.99895184890562,-0.21348974764123474,-0.9649082316918103,-18.785462101264386
28,8.0,0.0,0.12800800406801416,0.5527269089383907,nan,-5.654360703014578,-0.16886148986866406,-21.68671469194463,-0.1650624397736638,-1.8867946199473409,-21.521652252170966
29,8.0,0.0,0.14342598507811383,0.6267513516173653,nan,-5.997678744494856,-0.09404987447284156,-22.27685920003635,-0.09852660389315768,-1.8727932115846126,-22.17833259614319
30,32.0,0.0,0.1153828221229556,0.19010310659159577,-7.824244836334157,-6.101744166408107,-1.6657729200384241,-20.0711579159876,-1.987283513139767,-7.774123322051075,-18.083874402847833
31,36.0,0.0,0.11778349704145201,0.18953359820992263,-8.502530677063858,-6.301831783028626,-1.698372054345163,-20.70198759706695,-1.9138510844932846,-8.677580229019803,-18.788136512573665
32,24.0,0.0,0.12404777044490858,0.25300600003000595,-8.324808466994423,-4.975099701334886,-1.5064379681668714,-19.08101893464106,-1.7302135014322022,-5.894406805402327,-17.35080543320886
33,24.0,0.0,0.10837591714912258,0.21315318728113777,-7.506853330189428,-5.598274794167005,-1.2922501907207906,-19.341986888640818,-1.6223084594418709,-5.875031282449617,-17.719678429198947
34,28.0,0.0,0.10747099936030512,0.19483076389469614,-7.674443304464954,-5.693672555490531,-1.5588705115458905,-19.85625319361759,-1.74177281972559,-6.813827324415351,-18.114480373892
35,28.0,0.0,0.09961130971416839,0.173187094071156,-7.483424077350155,-5.9768677061444,-1.3642600326628291,-20.101410584496985,-1.6277783305170688,-6.800395361631446,-18.47363225397992
36,32.0,0.0,0.10508380864549677,0.18059982733284555,-8.186979761700583,-6.205123651015579,-1.3961714948203647,-20.697513844110095,-1.6046258341813282,-7.714349997358532,-19.092888009928767
37,20.0,0.0,0.09406346625837297,0.19859000070389765,-7.053178177528069,-5.401682845301084,-1.049117845169434,-19.357500389902736,-1.2758160384466586,-4.892152908737874,-18.081684351456076
38,24.0,0.0,0.09590784161713817,0.19015970847798083,-7.188476028936068,-5.59198454351047,-1.2387770342309052,-19.9775608742991,-1.3620869669936104,-5.829800704746929,-18.61547390730549
39,20.0,0.0,0.10316300849148714,0.21296214618589132,-7.378063697552753,-5.011662849385312,-1.1920826094623909,-18.99937194094203,-1.3954103861237377,-4.916202697087396,-17.60396155481829
40,24.0,0.0,0.09309964633034416,0.17915457532877635,-7.261020197441713,-5.813272636366945,-1.005134749102328,-20.710015042406944,-1.058222313182852,-5.7746525681966325,-19.65179272922409
